id_departamento,id_municipio,nombre,poblacion
5,5001,Medellín,2427129
5,5002,Abejorral,20367
5,5004,Abriaquí,2695
5,5021,Alejandría,4657
5,5030,Amagá,30227
5,5031,Amalfi,25962
5,5034,Andes,43269
5,5036,Angelópolis,5756
5,5038,Angostura,11437
5,5040,Anorí,18321
5,5042,Santafé de Antioquia,26164
5,5044,Anzá,7010
5,5045,Apartadó,121003
5,5051,Arboletes,29295
5,5055,Argelia,7689
5,5059,Armenia,5139
5,5079,Barbosa,51969
5,5086,Belmira,6000
5,5088,Bello,522264
5,5091,Betania,10323
5,5093,Betulia,15607
5,5101,Ciudad Bolívar,26118
5,5107,Briceño,8039
5,5113,Buriticá,9354
5,5120,Cáceres,28996
5,5125,Caicedo,8297
5,5129,Caldas,79638
5,5134,Campamento,9203
5,5138,Cañasgordas,15523
5,5142,Caracolí,4582
5,5145,Caramanta,4743
5,5147,Carepa,47932
5,5148,El Carmen de Viboral,59416
5,5150,Carolina,3954
5,5154,Caucasia,90213
5,5172,Chigorodó,57375
5,5190,Cisneros,9775
5,5197,Cocorná,15444
5,5206,Concepción,4797
5,5209,Concordia,21377
5,5212,Copacabana,77884
5,5234,Dabeiba,23044
5,5237,Don Matías,18902
5,5240,Ebéjico,12158
5,5250,El Bagre,51862
5,5264,Entrerrios,11159
5,5266,Envigado,228848
5,5282,Fredonia,24408
5,5284,Frontino,20739
5,5306,Giraldo,5544
5,5308,Girardota,51662
5,5310,Gómez Plata,9753
5,5313,Granada,10117
5,5315,Guadalupe,6560
5,5318,Guarne,55121
5,5321,Guatapé,8363
5,5347,Heliconia,5451
5,5353,Hispania,5469
5,5360,Itagüí,276744
5,5361,Ituango,27074
5,5364,Jardín,14518
5,5368,Jericó,13640
5,5376,La Ceja,64889
5,5380,La Estrella,71545
5,5390,La Pintada,8114
5,5400,La Unión,21475
5,5411,Liborina,10028
5,5425,Maceo,8221
5,5440,Marinilla,64645
5,5467,Montebello,6680
5,5475,Murindó,4911
5,5480,Mutatá,13991
5,5483,Nariño,10153
5,5490,Necoclí,42281
5,5495,Nechí,25790
5,5501,Olaya,3127
5,5541,Peñol,21049
5,5543,Peque,8097
5,5576,Pueblorrico,8664
5,5579,Puerto Berrío,39314
5,5585,Puerto Nare,14380
5,5591,Puerto Triunfo,18055
5,5604,Remedios,28415
5,5607,Retiro,23514
5,5615,Rionegro,135465
5,5628,Sabanalarga,9032
5,5631,Sabaneta,82375
5,5642,Salgar,18258
5,5647,San Andrés de Cuerquía,7235
5,5649,San Carlos,16247
5,5652,San Francisco,5648
5,5656,San Jerónimo,15361
5,5658,San José de La Montaña,3646
5,5659,San Juan de Urabá,20093
5,5660,San Luis,12995
5,5664,San Pedro de Los Milagros,21949
5,5665,San Pedro de Urabá,30932
5,5667,San Rafael,15698
5,5670,San Roque,21519
5,5674,San Vicente,22093
5,5679,Santa Bárbara,26784
5,5686,Santa Rosa de Osos,36318
5,5690,Santo Domingo,12394
5,5697,El Santuario,35422
5,5736,Segovia,37900
5,5756,Sonsón,36321
5,5761,Sopetrán,15053
5,5789,Támesis,16281
5,5790,Tarazá,26964
5,5792,Tarso,6184
5,5809,Titiribí,10775
5,5819,Toledo,4993
5,5837,Turbo,124552
5,5842,Uramita,6888
5,5847,Urrao,30127
5,5854,Valdivia,13801
5,5856,Valparaíso,6498
5,5858,Vegachí,11810
5,5861,Venecia,11602
5,5873,Vigía del Fuerte,9093
5,5885,Yalí,7608
5,5887,Yarumal,41542
5,5890,Yolombó,22538
5,5893,Yondó,19040
5,5895,Zaragoza,24651
8,8001,Barranquilla,1206319
8,8078,Baranoa,62382
8,8137,Campo de La Cruz,22879
8,8141,Candelaria,15982
8,8296,Galapa,60708
8,8372,Juan de Acosta,20999
8,8421,Luruaco,28175
8,8433,Malambo,128203
8,8436,Manatí,19808
8,8520,Palmar de Varela,28932
8,8549,Piojó,6608
8,8558,Polonuevo,18197
8,8560,Ponedera,23848
8,8573,Puerto Colombia,49264
8,8606,Repelón,26200
8,8634,Sabanagrande,32334
8,8638,Sabanalarga,93261
8,8675,Santa Lucía,16023
8,8685,Santo Tomás,29829
8,8758,Soledad,603999
8,8770,Suan,11940
8,8832,Tubará,17377
8,8849,Usiacurí,12250
11,11001,Bogotá,7412566
13,13001,Cartagena,973045
13,13006,Achí,24352
13,13030,Altos del Rosario,10972
13,13042,Arenal,7365
13,13052,Arjona,69503
13,13062,Arroyohondo,8254
13,13074,Barranco de Loba,14836
13,13140,Calamar,22474
13,13160,Cantagallo,8234
13,13188,Cicuco,13442
13,13212,Córdoba,15960
13,13222,Clemencia,14511
13,13244,El Carmen de Bolívar,70131
13,13248,El Guamo,8647
13,13268,El Peñón,7651
13,13300,Hatillo de Loba,12317
13,13430,Magangué,133270
13,13433,Mahates,27692
13,13440,Margarita,10673
13,13442,María La Baja,46112
13,13458,Montecristo,16389
13,13468,Mompós,44442
13,13473,Morales,22259
13,13490,Norosí,9212
13,13549,Pinillos,24218
13,13580,Regidor,6723
13,13600,Río Viejo,10598
13,13620,San Cristóbal,8054
13,13647,San Estanislao,18251
13,13650,San Fernando,12536
13,13654,San Jacinto,23913
13,13655,San Jacinto del Cauca,9935
13,13657,San Juan Nepomuceno,36874
13,13667,San Martín de Loba,14774
13,13670,San Pablo,27190
13,13673,Santa Catalina,14563
13,13683,Santa Rosa,20963
13,13688,Santa Rosa del Sur,32646
13,13744,Simití,18110
13,13760,Soplaviento,10650
13,13780,Talaigua Nuevo,13108
13,13810,Tiquisio,18035
13,13836,Turbaco,105166
13,13838,Turbaná,16403
13,13873,Villanueva,23777
13,13894,Zambrano,11880
15,15001,Tunja,172548
15,15022,Almeida,1910
15,15047,Aquitania,15377
15,15051,Arcabuco,5831
15,15087,Belén,7481
15,15090,Berbeo,1596
15,15092,Betéitiva,1963
15,15097,Boavita,5059
